#timestamp [ns], position.x [m], position.y [m], position.z [m], quaternion.w [], quaternion.x [], qquaternion.y [], quaternion.z []
0000000005949999999,2.18478703,-1.39588702,1.35308301,0.713458955,0.640594065,-0.180507004,-0.219164014
0000000005999999999,2.20496702,-1.36934304,1.35329902,0.71251756,0.648541391,-0.171147108,-0.205966115
0000000006049999999,2.22486806,-1.34041703,1.35136294,0.712612212,0.655709803,-0.158135936,-0.192927942
0000000006099999999,2.24469399,-1.30907595,1.34792399,0.712312222,0.661973834,-0.14428395,-0.183258951
0000000006149999999,2.26376104,-1.27660894,1.343279,0.71338594,0.665683031,-0.132607013,-0.174247012
0000000006199999999,2.28196812,-1.24403799,1.33768797,0.71627295,0.66645807,-0.125480011,-0.164443001
0000000006249999999,2.30109,-1.21125805,1.33274198,0.717920125,0.668162882,-0.120549977,-0.153676972
0000000006299999999,2.32081389,-1.177302,1.32975495,0.719441772,0.670429289,-0.113258883,-0.141772866
0000000006349999999,2.340487,-1.14212096,1.32999897,0.720333159,0.673703909,-0.102743968,-0.129176974
0000000006399999999,2.35938191,-1.10657001,1.33404601,0.720410168,0.678230822,-0.0889979675,-0.114416972
0000000006449999999,2.37653303,-1.07253504,1.33824301,0.717750251,0.685257733,-0.0781359673,-0.0956599712
0000000006499999999,2.39148998,-1.03789103,1.34257102,0.714653015,0.692066014,-0.0666539967,-0.0766350031
0000000006549999999,2.40362,-1.002051,1.34726095,0.711702526,0.69777441,-0.0501640327,-0.0638320372
0000000006599999999,2.41105294,-0.966207027,1.35169303,0.713338077,0.698090017,-0.0348649994,-0.0510249957
0000000006649999999,2.41453004,-0.93047899,1.35392106,0.720403373,0.692226589,-0.0223200209,-0.0366610326
0000000006699999999,2.41672707,-0.89301002,1.35308301,0.727837324,0.685108721,-0.00975099765,-0.0279889908
0000000006749999999,2.41853905,-0.853344977,1.34959102,0.733258367,0.679425657,0.0039699981,-0.0263949893
0000000006799999999,2.41976309,-0.813326001,1.34429204,0.73743093,0.674787045,0.016094001,-0.0244769994
0000000006849999999,2.4205451,-0.774644017,1.33841503,0.740789235,0.671132743,0.0207579918,-0.0195169933
0000000006899999999,2.42149401,-0.736036003,1.33373201,0.743094981,0.668762982,0.0205669999,-0.0119550023
0000000006949999999,2.42275691,-0.696299016,1.33128703,0.742491543,0.669542432,0.0198380109,-0.00512200268
0000000006999999999,2.42462492,-0.65606302,1.33211398,0.74247849,0.669706583,0.0147559904,-0.00070299895
0000000007049999999,2.42640495,-0.615206003,1.33592904,0.74142015,0.670897841,0.0138289966,0.000895000005
0000000007099999999,2.4278059,-0.576793015,1.34002602,0.741844356,0.670468748,0.0105889942,0.0051149982
0000000007149999999,2.43071699,-0.538151979,1.34392405,0.741165042,0.671233952,0.0098550003,0.00470599998
0000000007199999999,2.43513703,-0.498793006,1.34775698,0.738699913,0.673867047,0.015021001,-0.000190999956
0000000007249999999,2.440346,-0.461380005,1.35079396,0.734722733,0.678099215,0.0189840049,-0.00196700101
0000000007299999999,2.44556093,-0.425152987,1.35166895,0.730668068,0.682386935,0.0216850005,0.00138899952
0000000007349999999,2.4504199,-0.388338,1.34970605,0.726317823,0.686895192,0.0248500034,0.00449000066
0000000007399999999,2.45425296,-0.350147992,1.34599805,0.723491728,0.689583361,0.0311189704,0.00807499234
0000000007449999999,2.45763206,-0.310598999,1.341097,0.721315563,0.69155544,0.0364490189,0.0112680057
